fold_id,candidate_id,feature,coefficient,standard_error
fold_01_validate_2017,statistical_baseline_s1,intercept,-8.88060126897888,0.0185213464838989
fold_01_validate_2017,statistical_baseline_s1,seasonal_sin_annual,0.455989997484686,0.0155404162609793
fold_01_validate_2017,statistical_baseline_s1,seasonal_cos_annual,-0.950588342772756,0.0236042869829526
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography,intercept,-8.86932579070013,0.0226011977482466
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography,seasonal_sin_annual,0.455989997484687,0.0155404162628945
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography,seasonal_cos_annual,-0.950588342772756,0.0236042869935764
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography,municipality_area_km2,-7.11440217862759e-05,8.19248074984439e-05
fold_01_validate_2017,statistical_baseline_s1_plus_weather,intercept,-9.37617370339795,0.0565214640915688
fold_01_validate_2017,statistical_baseline_s1_plus_weather,seasonal_sin_annual,-0.10612899579899,0.0664350257202839
fold_01_validate_2017,statistical_baseline_s1_plus_weather,seasonal_cos_annual,-1.77919091581876,0.107268689512641
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_t2m_mean_c_lag_1w,0.655581627110675,0.270677213204081
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_t2m_mean_c_lag_2w,0.40588942325218,0.277607847272815
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_t2m_mean_c_previous_4w_mean,-2.89962179066798,0.43853018889636
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_d2m_mean_c_lag_1w,-0.244564576557529,0.10481034075315
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_d2m_mean_c_lag_2w,-0.193453180705894,0.104445021434257
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_d2m_mean_c_previous_4w_mean,0.725944305161569,0.158207140632222
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_tp_sum_mm_lag_1w,0.0219855388026674,0.0180196380945523
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_tp_sum_mm_lag_2w,-0.00564120148015076,0.0180042522122571
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_tp_sum_mm_previous_4w_sum,-9.07166863432741e-05,0.0230650229512008
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_stl1_mean_c_lag_1w,-1.0832132340754,0.683909946685023
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_stl1_mean_c_lag_2w,-1.05732332480282,0.636357448902459
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_stl1_mean_c_previous_4w_mean,2.47105295531415,1.07674519430433
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_stl2_mean_c_lag_1w,1.00034847238056,0.520355364554354
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_stl2_mean_c_lag_2w,0.942782576768761,0.409994605021781
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_stl2_mean_c_previous_4w_mean,-1.24624822149171,0.743258392381724
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_swvl1_mean_m3_m3_lag_1w,0.13215847102558,0.067799346760164
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_swvl1_mean_m3_m3_lag_2w,0.0858710845745599,0.0670506470816884
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_swvl1_mean_m3_m3_previous_4w_mean,-0.200676653087469,0.120206948492608
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_swvl2_mean_m3_m3_lag_1w,-0.125887812547806,0.0625362324668961
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_swvl2_mean_m3_m3_lag_2w,-0.123781049027304,0.0641341617991373
fold_01_validate_2017,statistical_baseline_s1_plus_weather,z_swvl2_mean_m3_m3_previous_4w_mean,0.230234531403755,0.109012403206973
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,intercept,-9.36009308732041,0.0568302291401391
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,seasonal_sin_annual,-0.127914941648248,0.0669011363282205
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,seasonal_cos_annual,-1.81731783397841,0.108085845963981
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,municipality_area_km2,-0.000257575912018214,8.79962219200156e-05
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,z_t2m_mean_c_lag_1w,0.640915891121035,0.270633814502377
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,z_t2m_mean_c_lag_2w,0.381651818573975,0.277736958315174
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,z_t2m_mean_c_previous_4w_mean,-2.79823232867079,0.439650183158777
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,z_d2m_mean_c_lag_1w,-0.248889431491534,0.10480565821578
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,z_d2m_mean_c_lag_2w,-0.193523168490959,0.104394453561823
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,z_d2m_mean_c_previous_4w_mean,0.766913917827141,0.158771462058597
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,z_tp_sum_mm_lag_1w,0.0230859685142841,0.0180441563121537
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,z_tp_sum_mm_lag_2w,-0.00464033485783451,0.0180202437848997
