year,air_temperature_c_mean_climate_anomaly_vs_2016_2025,near_surface_specific_humidity_g_kg_climate_anomaly_vs_2016_2025,precipitation_sum_mm_proxy_climate_anomaly_vs_2016_2025,soil_moisture_upper_portion_kg_m2_climate_anomaly_vs_2016_2025,lyme_cases_per_100k,kme_cases_per_100k,tick_borne_cases_total_per_100k,air_temperature_c_mean_climate_anomaly_vs_2016_2025_z,near_surface_specific_humidity_g_kg_climate_anomaly_vs_2016_2025_z,precipitation_sum_mm_proxy_climate_anomaly_vs_2016_2025_z,soil_moisture_upper_portion_kg_m2_climate_anomaly_vs_2016_2025_z,thermal_humidity_index,wetness_index
2016,-0.19945082835232245,-0.012393992145856451,74.49685441851625,0.0148312330245979,6665.520506295102,135.79445503508035,6801.314961330182,-1.3977693583815372,-0.26760866731845456,2.0689307603094536,0.07558679364244009,-1.6653780256999917,2.1445175539518937
2017,0.0222295477055008,-0.0089372207721072,-19.103679901361375,0.2254997968673713,7502.82165437696,168.6770572507053,7671.498711627665,0.15578667128192134,-0.19297073228774034,-0.5305484545829157,1.1492508130617682,-0.037184061005819,0.6187023584788526
2018,0.0208106616201498,-0.018075079719225475,-14.578048652410416,0.2048397143681857,12445.572814895637,252.4088866223532,12697.98170151799,0.14584298987672717,-0.3902736050186918,-0.40486237328650715,1.0439575181676832,-0.24443061514196462,0.6390951448811761
2019,0.015097327933957249,-0.020456275343895047,-2.3445750534533545,-0.26665742397308273,6378.821000256395,180.71698086484423,6559.537981121239,0.10580343312611713,-0.44168791771497623,-0.06511366803077204,-1.359009034896245,-0.3358844845888591,-1.424122702927017
2020,0.16300723742072695,0.03460901876290645,18.258864635229198,-0.26400962670643935,12089.509355429003,301.5523875503833,12391.061742979386,1.1423693927138519,0.7472712003805073,0.5070861982967518,-1.345514640649396,1.8896405930943592,-0.8384284423526442
2021,-0.030310876263926402,-0.027140707770983298,10.81409668326387,-0.09314870039621681,4758.976392895206,100.59888726883833,4859.575280164045,-0.21242134924889527,-0.5860168823086302,0.3003296910668474,-0.47472867449616457,-0.7984382315575256,-0.17439898342931714
2022,-0.026063913696756202,0.0351574112971624,32.20648586153993,-0.13114205201466686,6546.207394766579,205.7939450450572,6752.001339811636,-0.18265825329374738,0.7591119852973096,0.8944403062453289,-0.6683602912205323,0.5764537320035622,0.22608001502479658
2023,-0.18105272256458882,-0.057657958070437,-11.276486164331345,0.22407532533009977,4058.111824801481,101.69492639717312,4159.806751198653,-1.2688337769412372,-1.2449394140282228,-0.31317119730347354,1.1419910501035093,-2.5137731909694603,0.8288198528000358
2024,-0.06256479605411513,-0.0297337482372919,-46.17711520791045,0.17112692991892686,5082.948490830592,146.00641182625756,5228.95490265685,-0.4384597224301956,-0.642005307613842,-1.2824333969764745,0.8721416430444128,-1.0804650300440377,-0.41029175393206174
2025,0.2782983622513706,0.10462855199972806,-42.296396619081406,-0.0854151964187615,7939.903481400254,127.0130530917857,8066.91653449204,1.9503399732969948,2.259119340612741,-1.1746578657382387,-0.43531517675747544,4.209459313909735,-1.6099730424957142
